snapped_at,price,market_cap,total_volume
7/30/2017,0.042279794,2900848.77,16525.59406
7/31/2017,0.039352916,2700033.42,16889.51459
8/1/2017,0.040123097,2752876.132,23723.20212
8/2/2017,0.040572754,2783727.431,13405.73166
8/3/2017,0.039876467,2735954.701,19997.47362
8/4/2017,0.044081701,3024478.932,19455.90155
8/5/2017,0.064872645,4450961.394,50014.42697
8/6/2017,0.090333271,7245720.91,45785.63065
8/7/2017,0.167594423,13473919.21,248966.6821
8/8/2017,0.164914104,11632421.32,91889.01411
8/9/2017,0.169386001,11947852.1,60588.97095
8/10/2017,0.215326559,15190479.78,106082.5394
8/11/2017,0.459709443,32430774.1,257522.9092
8/12/2017,1.475491895,104090557.3,575353.5602
8/13/2017,0.741170836,52435126.18,186854.7932
8/14/2017,0.726090776,51368267.07,141372.1322
8/15/2017,0.689428563,48777996.73,123861.929
8/16/2017,0.933007529,66025530.85,1284497.464
8/17/2017,0.939069962,66454547.04,1323007.362
8/18/2017,1.15554721,81773850.23,1872193.4
8/19/2017,1.237692864,87586997.74,958383.4387
8/20/2017,1.101314948,77936031.35,804559.2077
8/21/2017,1.115011459,78907234.6,954044.2626
8/22/2017,0.982999675,69565012.41,824120.6998
8/23/2017,0.969645541,68619965.79,670500.9945
8/24/2017,0.973092493,68863900.06,977116.916
8/25/2017,0.920518487,65143337.91,548172.5179
8/26/2017,0.91071796,64449773.3,336080.2583
8/27/2017,0.912811289,64597914.18,434714.5729
8/28/2017,0.814652093,57651375.07,624007.7405
8/29/2017,0.755529393,53467374.38,652598.738
8/30/2017,0.828953391,58663450.66,572837.0084
8/31/2017,0.871980706,61708411.69,540011.6092
9/1/2017,1.229194057,87474276.17,1950015.449
9/2/2017,0.967073236,68820729.18,979341.7263
9/3/2017,0.943484063,67142031,409002.3905
9/4/2017,0.857520904,61024555.04,843983.9886
9/5/2017,0.881389221,62723118.19,423517.8481
9/6/2017,1.028009335,73157181.3,947236.4175
9/7/2017,1.077007147,76644057.99,845488.322
9/8/2017,0.863949244,61482020.92,838013.2428
9/9/2017,0.904772813,64387186.42,410489.1745
9/10/2017,0.886078815,63059506.31,752793.2091
9/11/2017,0.870717766,61966307.72,408577.1674
9/12/2017,0.942567356,67079622.21,1829450.541
9/13/2017,0.864198051,61502319.64,1015847.677
9/14/2017,0.612747873,43607383.17,821191.2499
9/15/2017,0.742576494,52846887.15,1704469.915
9/16/2017,0.752495412,53552786.05,706276.2516
9/17/2017,0.742309906,52827914.88,182218.3363
9/18/2017,0.879371857,62582192.79,759355.432
9/19/2017,0.799712971,57008280.44,342751.097
9/20/2017,0.921506197,65690423.5,850203.0666
9/21/2017,0.823616724,58712281.66,644967.019
9/22/2017,0.839416246,59838565.23,350298.8239
9/23/2017,0.808279279,57618937.65,308995.1848
9/24/2017,0.763838113,54450907.95,215160.0995
9/25/2017,0.769145376,54832394.64,402706.9874
9/26/2017,0.726469452,51790026.86,261857.4983
9/27/2017,0.738536823,52650310.07,443766.495
9/28/2017,0.689036375,49121421.75,311904.4573
9/29/2017,0.676195333,48205983.54,361817.6431
9/30/2017,0.641469273,45730361.79,217285.2903
10/1/2017,0.617492075,44021026.72,305284.6646
10/2/2017,0.732008102,52184877.38,377954.2081
10/3/2017,0.766108025,54769849.52,407283.1227
10/4/2017,0.697918435,49894905.68,227801.111
10/5/2017,0.665274446,47561153.35,179614.8883
10/6/2017,0.643036786,45971360.24,164089.3011
10/7/2017,0.627301442,44846424.32,55787.07146
10/8/2017,0.465083508,33249297.65,112305.0216
10/9/2017,0.533999917,38254130.67,187865.966
10/10/2017,0.62181739,44545729.29,163924.7066
10/11/2017,0.620381983,44442899.7,46125.88985
10/12/2017,0.595077189,42630115.89,28254.42153
10/13/2017,0.585810255,41966251.61,133091.2056
10/14/2017,0.577913771,41400563.64,38339.56667
10/15/2017,0.579084518,41484433.51,337573.1824
10/16/2017,0.582480252,41727696.99,122539.4612
10/17/2017,0.56726083,40637408.62,132768.9727
10/18/2017,0.58969196,42244329.01,87105.78846
10/19/2017,0.681367016,48811743.01,311911.429
10/20/2017,0.697055557,49935638.09,361320.3346
10/21/2017,0.658981792,47208111.23,119444.5684
10/22/2017,0.742292411,53176314.07,90733.48751
10/23/2017,0.898164797,64342693.83,639587.1225
10/24/2017,0.891637138,63875154.79,699509.5108
10/25/2017,0.83396714,59743787.99,149814.8248
10/26/2017,0.872322774,62491511.24,124041.7671
10/27/2017,0.892242949,63918553.93,221236.2192
10/28/2017,0.885574743,63440856.54,32754.0049
10/29/2017,0.880214105,63056830.88,64936.87513
10/30/2017,0.862128003,61847390.44,467445.4966
10/31/2017,0.773939507,55520918.76,536719.4491
11/1/2017,0.696455441,50063928.4,1108461.179
11/2/2017,0.808319827,58105256.75,1108371.926
11/3/2017,0.843072444,60608997.3,3652267.884
11/4/2017,0.816429875,58693646.64,667923.1841
11/5/2017,0.812003201,58375410.34,765687.0884
11/6/2017,0.841835504,60520157.13,1463672.019
11/7/2017,0.879274147,63603367.26,1815390.501
11/8/2017,0.979932434,70884607.12,3561241.997
11/9/2017,1.02242215,73959072.73,2901075.812
11/10/2017,0.975522972,70568472.33,3122602.266
11/11/2017,1.029535533,74475693.43,2703550.439
11/12/2017,0.962143321,69600600.17,2809449.855
11/13/2017,1.085869787,78550863.75,1759506.942
11/14/2017,1.249956914,90454530.78,1486281.734
11/15/2017,1.297747071,93912919.01,1941469.641
11/16/2017,1.319549681,95556666.71,1915744.262
11/17/2017,1.373215863,99580284.97,1790187.349
11/18/2017,1.344823779,97521401.23,1202469.811
11/19/2017,1.380392797,100100728.4,1566058.531
11/20/2017,1.794734724,133754613.6,10011500.69
11/21/2017,1.86007702,138624321.3,10093006.22
12/6/2017,1.51402862,113804424.5,149706.2539
12/7/2017,1.35510196,101858443.5,288967.849
12/8/2017,1.441796964,108375014.6,121780.6584
12/9/2017,1.316881402,98985533.17,53533.73387
12/10/2017,1.375429153,103386378.4,92640.67582
12/11/2017,1.267853253,95300260.18,116737.6982
12/12/2017,1.300955293,97788429.03,119083.1779
12/13/2017,1.260533604,94750066.78,121059.0577
12/14/2017,1.434038941,107791893.1,127299.4255
12/15/2017,1.414711552,106353251.2,80365.37418
12/16/2017,1.389562693,104497383.7,125458.0745
12/17/2017,1.486282927,111770903.2,183471.0133
12/18/2017,2.00411896,150713419.4,306220.8441
12/19/2017,2.165970477,162884950.1,325088.9596
12/20/2017,2.571744966,193399935.5,223021.7293
12/21/2017,3.386489272,254670200.7,428319.9149
12/22/2017,3.652121704,275279338.1,26797.10092
12/23/2017,3.224494085,243046828.5,204856.6705
12/24/2017,3.015296181,227356232.8,42757.18079
12/25/2017,2.643890359,199351876.5,56378.9889
12/26/2017,2.457265872,185280210.7,147413.107
12/27/2017,2.532422408,190947085.7,96157.49689
12/28/2017,2.531281339,190861048,68760.41689
12/29/2017,2.797311332,210922762.8,94795.03117
12/30/2017,2.519451234,189971566.2,75188.52858
12/31/2017,3.179206471,239718405.5,92298.00626
1/1/2018,3.94094441,297154940.7,229685.7949
1/2/2018,4.527027471,341346753.3,449157.8258
1/3/2018,6.555936098,494330444.6,335371.4444
1/4/2018,6.907477036,520837321,307249.0433
1/5/2018,9.568637714,721494057.3,66190.04259
1/6/2018,12.47431208,940587605.6,102549.3254
1/7/2018,11.843509,893023815.8,38452.04459
1/8/2018,11.15669044,841236348.5,52628.13296
1/9/2018,8.455895242,637591091.7,38463.81397
1/10/2018,12.2115305,920773358.6,50718.97666
1/11/2018,9.023343136,680377776.2,30709.33631
1/12/2018,8.512343061,641847419.1,294686.39
1/13/2018,8.6555185,652670030.3,223266.6486
1/14/2018,7.790629142,587452982.6,128228.8312
1/15/2018,6.844191754,516086799.4,182613.9486
1/16/2018,6.196359654,467236970.6,285821.0554
1/17/2018,6.649838264,501431646.1,320822.4905
1/18/2018,6.916585987,521545781.9,201987.6684
1/19/2018,7.259762717,547423053.8,21689.31915
1/20/2018,7.640693676,576147186.7,35337.40544
1/21/2018,6.481805155,488761094.6,54988.61552
1/22/2018,6.025038012,454330577.6,55233.44299
1/23/2018,6.007827518,453040756.8,61906.3512
1/24/2018,5.813847728,438413745.7,37580.43155
1/25/2018,5.566000581,419723955.2,62850.14318
1/26/2018,5.258010334,396498861.6,35076.23306
1/27/2018,5.726233186,431806861.3,28880.21745
1/28/2018,5.401210863,407297403.8,45664.03157
1/29/2018,4.560779641,343921715.8,58388.03602
1/30/2018,4.523098871,341080264.1,57190.7236
1/31/2018,4.497749116,339168676.1,95993.90991
2/1/2018,4.603590598,347150027.3,69174.9905
2/2/2018,4.010550024,302429705.9,39646.8156
2/3/2018,3.982501167,300314582.6,97004.91657
2/4/2018,4.409346978,332509318.6,35570.04987
2/5/2018,3.855498229,291477593.9,32542.28288
2/6/2018,2.755137445,208289768.4,37174.06498
2/7/2018,3.884073487,293637897.7,78932.0721
2/8/2018,4.062605315,307134993.2,48583.70411
2/9/2018,4.355699817,329296133,33626.62279
2/10/2018,4.679641249,353786494,79612.96533
2/11/2018,4.154446938,314081173.8,46780.41768
2/12/2018,3.87444025,292912332.3,41354.07966
2/13/2018,4.113816494,311828462.7,31840.10808
2/14/2018,3.843154017,291312169.8,17364.08784
2/15/2018,4.083104263,309500466.8,28854.06818
2/16/2018,4.058712724,307652981.5,14337.35133
2/17/2018,4.239865668,321384488.7,58853.7888
2/18/2018,4.174336478,316417334.9,27605.22637
2/19/2018,3.501220999,265405261.2,18410.11823
2/20/2018,3.880033221,294120602.6,25887.69639
2/21/2018,3.87440542,293693994.9,19428.51168
2/22/2018,3.275939088,248327645.4,19538.31547
2/23/2018,3.439490464,260725411.9,19476.09682
2/24/2018,3.154511343,239136940.3,23964.00422
2/25/2018,2.778504474,210632642.1,15838.9796
2/26/2018,3.19938551,242538757.6,23116.20904
2/27/2018,3.420652526,259312549.6,15121.36038
2/28/2018,3.913995256,296711835.3,29377.02712
3/1/2018,3.791119493,287396879.4,51546.69874
3/2/2018,3.951324162,299541662,89662.21472
3/3/2018,4.147127169,314385080.5,85133.49317
3/4/2018,5.211415195,395066541,168447.6484
3/5/2018,5.033476006,381577341.4,68313.17235
3/6/2018,4.85321332,367912244.9,53932.15453
3/7/2018,4.379333955,331988412.7,35090.0662
3/8/2018,3.743634602,284048881.9,35490.86013
3/9/2018,3.526369176,267563832.5,46915.77756
3/10/2018,3.21434695,243889095.6,36259.24006
3/11/2018,3.152008793,239474378.6,30304.50084
3/12/2018,3.218614148,244534731.3,13337.08711
3/13/2018,3.479242699,264336027.7,32219.45052
3/14/2018,3.387805096,257389041,18330.88721
3/15/2018,2.668477527,202738012.4,32480.12399
3/16/2018,2.778417997,211090757.4,28653.41682
3/17/2018,2.767851923,210287998.2,20688.6341
3/18/2018,2.460818886,186961113.5,23836.27652
3/19/2018,2.262307019,171879142.3,36989.19295
3/20/2018,2.372462963,180248258,9289.36579
3/21/2018,2.750738606,208987811.2,23311.06483
3/22/2018,2.978167875,226266786.8,20021.44554
3/23/2018,2.84319752,216012392.2,18005.85702
3/24/2018,2.676931053,203380270.4,17388.50653
3/25/2018,2.802959607,212976388.5,15240.90933
3/26/2018,3.343061821,254349109.4,42796.83032
3/27/2018,3.488830054,265440943.1,22792.24979
3/28/2018,2.844841674,216444322.3,28300.27385
