Txhash,Blockno,UnixTimestamp,DateTime,From,To,Quantity,Method
0x7086efbb4cd0578cbdff00c8df92af7387f36fb24fe8be6d63aae7ffe8d41980,12916917,1627509736,7/28/2021,0x0000000000000000000000000000000000000000,0xe793e8aefc1e8f104a9be9cf73e4ab1dff892372,40000000,Exec Transaction
0x2b7618c0e2fc61b3e54031c58cfaf360e99801105570cbc6ae1f69f06e590168,12921228,1627568960,7/29/2021,0x0000000000000000000000000000000000000000,0x9a4332ab6eac5833da6bff240c5d63faebc428e1,30.60146851,Swap
0x3fe4ab5dc6ac07c5e3b69957b5ac08c3b8dc0d9172992f94bb42ca29f8b08e03,12921318,1627570182,7/29/2021,0x0000000000000000000000000000000000000000,0x9a4332ab6eac5833da6bff240c5d63faebc428e1,5,Swap
0xe8407a943501ac3b0982738c976b2933d048d0fbe5d11b22ca36b0213e6abbe4,12921433,1627571777,7/29/2021,0x9a4332ab6eac5833da6bff240c5d63faebc428e1,0x8692e782ea478623f3342e0fb3936f6530c5d54f,35.6014,Stake
0xef551448e39fe347abb576f8ce44661b7e47c7770a6711388f6060ee3f4aa286,12921453,1627572005,7/29/2021,0x0000000000000000000000000000000000000000,0x9a4332ab6eac5833da6bff240c5d63faebc428e1,6.77898713,Swap
0xd28eaf908bafbe718d29c7344ca053ecfd18b8d97cfc3c150c37e5acb41defff,12921504,1627572670,7/29/2021,0x8692e782ea478623f3342e0fb3936f6530c5d54f,0x9a4332ab6eac5833da6bff240c5d63faebc428e1,6.77905564,Unstake
0xd0fc2560efb410c7c6726d3e8f4300c07401b0c455cf7250899f4691a27cd669,12921526,1627572878,7/29/2021,0x8692e782ea478623f3342e0fb3936f6530c5d54f,0x9a4332ab6eac5833da6bff240c5d63faebc428e1,13.55811128,Unstake
0x65b92785fee90c4d04c70ac043e6e5d8f6f1f520f6ce96d833bca940b8205384,12922066,1627580316,7/29/2021,0x0000000000000000000000000000000000000000,0xb779168599d844577a62d13afbd33c47f1e13b1d,153.0073426,Swap
0x276d4cc225623cc2537e97a34610abe5e2a8e40d16b4b377026dbf409f7a5181,12922094,1627580557,7/29/2021,0x0000000000000000000000000000000000000000,0xe9a0dfa349bd7af1bfd68dcb6f39c93cbfe541c0,5,Swap
0xd469bf18fd66e6a905acaee4a8f9ee285e910ecf6745d97d49d6dc4aced2f830,12922130,1627581053,7/29/2021,0xe9a0dfa349bd7af1bfd68dcb6f39c93cbfe541c0,0x8692e782ea478623f3342e0fb3936f6530c5d54f,5,Stake
0xade10027783d234a07b5d724df09d8bc368a3e0969c431eae87dfe698d7c1c9c,12922162,1627581437,7/29/2021,0x0000000000000000000000000000000000000000,0xbe3b34f8a317ca8988153c852016db68d937ed61,316.8337549,Swap
0x4ed2bce87e21fb36b4119fd602c1c0e6b9f98ff0b06420f2117b549fdbce0491,12922185,1627581701,7/29/2021,0x0000000000000000000000000000000000000000,0x1751c3a43939ef9e22207f83f9c236dd8177380f,4163.09,Swap
0xc3c1bbbe3f3ecc85e3534417545f4bbaccfa12c8b13b0e7c96b744d434fd165b,12922573,1627587321,7/29/2021,0x0000000000000000000000000000000000000000,0xc9e5a9ba2f39cb157defc4173403cf5d41962d18,13433.32,Swap
0x6dd48f6b0980e961cd322ce8ca6b20d6cb3e2ce8ec349d81ccc0f161345c6393,12922618,1627587938,7/29/2021,0x0000000000000000000000000000000000000000,0xd6a6ed46927c98db991a333c6e51bb7ac7796d82,153.0073426,Swap
0x9d31a9f95acd5b37cfa2c2f979cbf829bc972a959e89ace2c862bd0ac2a02171,12922633,1627588145,7/29/2021,0x0000000000000000000000000000000000000000,0x32ac4b430f803db603cbc55fef251225d383d455,38275.3,Swap
0x6d92d9f462456f73387b67152b90eb22c1dd58105caba1af8ed59a42fa75e22a,12923100,1627594305,7/29/2021,0x0000000000000000000000000000000000000000,0x02c2cb0e5c5f768f1f56d678b747dfc76108eb40,4590.22,Swap
0xc5710a94d5960d9487daccde90ee751e36a624095e6e42c9e990623ae2dc8588,12923116,1627594564,7/29/2021,0x0000000000000000000000000000000000000000,0x02c2cb0e5c5f768f1f56d678b747dfc76108eb40,9180.44,Swap
0x550e6fc4df0aa3e845711f097ec458ee5a835bedde40e4ae21c326e1bca1ec1f,12923150,1627594953,7/29/2021,0x0000000000000000000000000000000000000000,0x02c2cb0e5c5f768f1f56d678b747dfc76108eb40,8054.04,Swap
0xd2d95346a5ce4dd5af6fa73411b7651e72bc6a41630596cd0c0dbe027bc4eb63,12923171,1627595285,7/29/2021,0x0000000000000000000000000000000000000000,0x8692e782ea478623f3342e0fb3936f6530c5d54f,0.00380967,Stake
0xd2d95346a5ce4dd5af6fa73411b7651e72bc6a41630596cd0c0dbe027bc4eb63,12923171,1627595285,7/29/2021,0x02c2cb0e5c5f768f1f56d678b747dfc76108eb40,0x8692e782ea478623f3342e0fb3936f6530c5d54f,12000,Stake
0xa714258c0fdb9df73ea4242643ed67c37682de53101033ab78c6754600f73622,12923177,1627595320,7/29/2021,0x02c2cb0e5c5f768f1f56d678b747dfc76108eb40,0x8692e782ea478623f3342e0fb3936f6530c5d54f,9824.7,Stake
0xbce737015b1654ed30dbd16619cc58aab4357a1737028ff24b351a6c7cce2d07,12926421,1627640577,7/30/2021,0x0000000000000000000000000000000000000000,0xcd5b05c5675857e52f18e4daeb7c8d0fe98de524,79308.11,Swap
0x28f5fd9543212ceec180f45be37e0047bf2391c30dce029e29e9fa395a984a9c,12927157,1627650662,7/30/2021,0x0000000000000000000000000000000000000000,0x0286d1ac3d202ffddf2b2fc8f2b244f1b572ab0a,64148.85,Swap
