Date,Open,High,Low,Close*,Adj Close**,Volume
1-Nov-21,15.39,16.67,13.78,14.6,14.6,"1,965,000"
29-Oct-21,15.26,17.42,15.13,15.45,15.45,"2,918,100"
28-Oct-21,10.95,14.89,10.75,14.21,14.21,"4,277,100"
27-Oct-21,9.11,10.74,8.85,10.35,10.35,"2,580,100"
26-Oct-21,9.4,10.25,9.1,9.14,9.14,"898,500"
25-Oct-21,10.03,10.03,8.64,9.52,9.52,"778,000"
22-Oct-21,10.03,11,9.63,9.76,9.76,"829,400"
21-Oct-21,10.52,10.68,9.86,10.65,10.65,"1,019,800"
20-Oct-21,10,10.67,9.6,10.31,10.31,"1,790,900"
19-Oct-21,9,9.53,9,9.52,9.52,"570,200"
18-Oct-21,9.5,9.69,8.83,9.15,9.15,"673,300"
15-Oct-21,9.52,10,9.15,9.33,9.33,"746,000"
14-Oct-21,10.15,10.15,9.25,9.5,9.5,"514,500"
13-Oct-21,10.08,10.08,9.2,9.23,9.23,"691,600"
12-Oct-21,10.45,10.45,9.52,9.54,9.54,"528,900"
11-Oct-21,10.73,10.73,9.38,10.05,10.05,"425,000"
8-Oct-21,9.89,10.18,9.74,9.86,9.86,"348,100"
7-Oct-21,10.25,10.51,9.77,9.87,9.87,"778,600"
6-Oct-21,11.46,11.46,8.7,9.83,9.83,"4,234,700"
5-Oct-21,10.07,11.15,10.05,10.7,10.7,"622,900"
4-Oct-21,9.79,10.75,9.56,10.08,10.08,"661,000"
1-Oct-21,10.55,10.95,9.93,10.29,10.29,"493,000"
30-Sep-21,9.56,10.5,9.56,10,10,"599,800"
29-Sep-21,9.62,10.67,9.58,9.93,9.93,"903,800"
28-Sep-21,10,10.21,9.56,9.62,9.62,"1,310,700"
27-Sep-21,10.56,11.26,10.17,10.2,10.2,"668,700"
24-Sep-21,10.9,11.22,10.34,10.59,10.59,"753,300"
23-Sep-21,11.72,11.75,10.86,11.22,11.22,"431,800"
22-Sep-21,11.11,11.25,10.6,10.97,10.97,"499,700"
21-Sep-21,12.11,12.11,10.6,10.71,10.71,"649,300"
20-Sep-21,10.34,11.25,10.34,11,11,"1,058,800"
17-Sep-21,11.5,12.5,11.5,12,12,"649,700"
16-Sep-21,11.52,12.7,11.5,12.5,12.5,"392,800"
